[INFO] 05:13:32:323 gameboy/(12089:12089): El IP es: 127.0.0.1
[INFO] 05:13:32:323 gameboy/(12089:12089): El PUERTO es: 37227
[INFO] 05:13:33:404 gameboy/(12091:12091): El IP es: 127.0.0.1
[INFO] 05:13:33:404 gameboy/(12091:12091): El PUERTO es: 37227
[INFO] 05:13:34:108 gameboy/(12093:12093): El IP es: 127.0.0.1
[INFO] 05:13:34:108 gameboy/(12093:12093): El PUERTO es: 37227
[INFO] 05:13:34:892 gameboy/(12095:12095): El IP es: 127.0.0.1
[INFO] 05:13:34:892 gameboy/(12095:12095): El PUERTO es: 37227
[INFO] 05:13:35:604 gameboy/(12097:12097): El IP es: 127.0.0.1
[INFO] 05:13:35:604 gameboy/(12097:12097): El PUERTO es: 37227
[INFO] 05:13:49:492 gameboy/(12107:12107): El IP es: 127.0.0.1
[INFO] 05:13:49:492 gameboy/(12107:12107): El PUERTO es: 37227
[INFO] 05:13:55:804 gameboy/(12110:12110): El IP es: 127.0.0.1
[INFO] 05:13:55:804 gameboy/(12110:12110): El PUERTO es: 37227
[INFO] 05:14:58:755 gameboy/(12127:12127): El IP es: 127.0.0.1
[INFO] 05:14:58:755 gameboy/(12127:12127): El PUERTO es: 37227
[INFO] 05:15:15:851 gameboy/(12164:12164): El IP es: 127.0.0.1
[INFO] 05:15:15:851 gameboy/(12164:12164): El PUERTO es: 37227
[INFO] 05:15:30:762 gameboy/(12202:12202): El IP es: 127.0.0.1
[INFO] 05:15:30:762 gameboy/(12202:12202): El PUERTO es: 37227
[INFO] 05:16:20:987 gameboy/(12277:12277): El IP es: 127.0.0.1
[INFO] 05:16:20:987 gameboy/(12277:12277): El PUERTO es: 37227
[INFO] 05:16:51:227 gameboy/(12320:12320): El IP es: 127.0.0.1
[INFO] 05:16:51:227 gameboy/(12320:12320): El PUERTO es: 37227
[INFO] 05:17:25:739 gameboy/(12380:12380): El IP es: 127.0.0.1
[INFO] 05:17:25:739 gameboy/(12380:12380): El PUERTO es: 37227
[INFO] 05:18:02:283 gameboy/(12437:12437): El IP es: 127.0.0.1
[INFO] 05:18:02:283 gameboy/(12437:12437): El PUERTO es: 37227
[INFO] 05:19:57:366 gameboy/(12495:12495): El IP es: 127.0.0.1
[INFO] 05:19:57:366 gameboy/(12495:12495): El PUERTO es: 37227
[INFO] 05:20:21:842 gameboy/(12508:12508): El IP es: 127.0.0.1
[INFO] 05:20:21:842 gameboy/(12508:12508): El PUERTO es: 37227
[INFO] 05:21:48:65 gameboy/(12532:12532): El IP es: 127.0.0.1
[INFO] 05:21:48:65 gameboy/(12532:12532): El PUERTO es: 37227
